No.	Name	Chromosome No./Scaffold Id	BLAST (UniRef)	Gene ontology		
	3783 bp					
4217	KWMTBOMO04217	Bomo_Chr7	TRAS3_[Danaus_plexippus]	GO:0003676	F	nucleic acid binding
	2988 bp			GO:0004523	F	ribonuclease H activity
4218	KWMTBOMO04218	Bomo_Chr7	PREDICTED:_uncharacterized_protein_LOC105842707_[Bombyx_mori]			
	1527 bp					
4219	KWMTBOMO04219	Bomo_Chr8	"hypothetical_protein_TcasGA2_TC034914,_partial_[Tribolium_castaneum]"			
	4347 bp					
4220	KWMTBOMO04220	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC105842707_[Bombyx_mori]			
	1254 bp					
4221	KWMTBOMO04221	Bomo_Chr8	PREDICTED:_metabotropic_glutamate_receptor_2-like_[Bombyx_mori]	GO:0004930	F	G-protein coupled receptor activity
	3348 bp			GO:0007186	P	G-protein coupled receptor protein signaling pathway
				GO:0016021	C	integral to membrane
4222	KWMTBOMO04222	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	6372 bp					
4223	KWMTBOMO04223	Bomo_Chr8	endonuclease-reverse_transcriptase_[Bombyx_mori]			
	879 bp					
4224	KWMTBOMO04224	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC105841511_[Bombyx_mori]			
	708 bp					
4225	KWMTBOMO04225	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Amyelois_transitella]	GO:0016021	C	integral to membrane
	1410 bp					
4226	KWMTBOMO04226	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Papilio_polytes]	GO:0016021	C	integral to membrane
	1413 bp					
4227	KWMTBOMO04227	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Bombyx_mori]	GO:0016021	C	integral to membrane
	1386 bp					
4228	KWMTBOMO04228	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Bombyx_mori]	GO:0016021	C	integral to membrane
	1374 bp					
4229	KWMTBOMO04229	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Bombyx_mori]	GO:0016021	C	integral to membrane
	1353 bp					
4230	KWMTBOMO04230	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Papilio_xuthus]	GO:0016021	C	integral to membrane
	1401 bp					
4231	KWMTBOMO04231	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Bombyx_mori]			
	288 bp					
4232	KWMTBOMO04232	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	3675 bp					
4233	KWMTBOMO04233	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Bombyx_mori]	GO:0016021	C	integral to membrane
	1110 bp					
4234	KWMTBOMO04234	Bomo_Chr8	Uncharacterized_protein_OBRU01_23542_[Operophtera_brumata]	GO:0016747	F	"transferase activity, transferring groups other than amino-acyl groups"
	1587 bp					
4235	KWMTBOMO04235	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Bombyx_mori]	GO:0016021	C	integral to membrane
	1227 bp					
4236	KWMTBOMO04236	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Bombyx_mori]	GO:0016021	C	integral to membrane
	1092 bp					
4237	KWMTBOMO04237	Bomo_Chr8	PREDICTED:_inorganic_phosphate_transporter_1_isoform_X1_[Bombyx_mori]	GO:0016021	C	integral to membrane
	1563 bp					
4238	KWMTBOMO04238	Bomo_Chr8	PREDICTED:_putative_inorganic_phosphate_cotransporter_[Bombyx_mori]			
	237 bp					
4239	KWMTBOMO04239	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	2700 bp					
4240	KWMTBOMO04240	Bomo_Chr8	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	2847 bp					
4241	KWMTBOMO04241	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	1539 bp					
4242	KWMTBOMO04242	Bomo_Chr8	PREDICTED:_metabotropic_glutamate_receptor_2-like_[Papilio_xuthus]	GO:0004930	F	G-protein coupled receptor activity
	1488 bp			GO:0007186	P	G-protein coupled receptor protein signaling pathway
				GO:0016021	C	integral to membrane
4243	KWMTBOMO04243	Bomo_Chr8	PREDICTED:_metabotropic_glutamate_receptor_2-like_[Papilio_xuthus]	GO:0004930	F	G-protein coupled receptor activity
	1506 bp			GO:0007186	P	G-protein coupled receptor protein signaling pathway
				GO:0016021	C	integral to membrane
4244	KWMTBOMO04244	Bomo_Chr8	PREDICTED:_importin_subunit_alpha-2_isoform_X2_[Bombyx_mori]	GO:0005488	F	binding
	645 bp					
4245	KWMTBOMO04245	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC101746896_isoform_X2_[Bombyx_mori]			
	1098 bp					
4246	KWMTBOMO04246	Bomo_Chr8	polyprotein_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	3504 bp			GO:0015074	P	DNA integration
				GO:0008270	F	zinc ion binding
4247	KWMTBOMO04247	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC101735373_[Bombyx_mori]			
	591 bp					
4248	KWMTBOMO04248	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC101735373_[Bombyx_mori]			
	732 bp					
4249	KWMTBOMO04249	Bomo_Chr8	PREDICTED:_transforming_growth_factor_beta-1-induced_transcript_1_protein_isoform_X1_[Bombyx_mori]	GO:0008270	F	zinc ion binding
	543 bp					
4250	KWMTBOMO04250	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	3894 bp			GO:0008270	F	zinc ion binding
4251	KWMTBOMO04251	Bomo_Chr8	PREDICTED:_cationic_amino_acid_transporter_2-like_[Bombyx_mori]	GO:0015171	F	amino acid transmembrane transporter activity
	3045 bp			GO:0016020	C	membrane
4252	KWMTBOMO04252	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC105391048_[Plutella_xylostella]	GO:0015074	P	DNA integration
	3585 bp			GO:0004190	F	aspartic-type endopeptidase activity
				GO:0006508	P	proteolysis
				GO:0003676	F	nucleic acid binding
4253	KWMTBOMO04253	Bomo_Chr8	hypothetical_protein_KGM_18518_[Danaus_plexippus]	GO:0015171	F	amino acid transmembrane transporter activity
	1776 bp			GO:0016020	C	membrane
4254	KWMTBOMO04254	Bomo_Chr8	PREDICTED:_cationic_amino_acid_transporter_2_[Papilio_machaon]	GO:0015171	F	amino acid transmembrane transporter activity
	1767 bp			GO:0016020	C	membrane
4255	KWMTBOMO04255	Bomo_Chr8	PREDICTED:_lipase_1-like_[Bombyx_mori]	GO:0016788	F	"hydrolase activity, acting on ester bonds"
	1206 bp					
4256	KWMTBOMO04256	Bomo_Chr8	PREDICTED:_lipase_1-like_[Bombyx_mori]	GO:0016788	F	"hydrolase activity, acting on ester bonds"
	1161 bp					
4257	KWMTBOMO04257	Bomo_Chr8	Low_affinity_cationic_amino_acid_transporter_2_[Papilio_xuthus]	GO:0015171	F	amino acid transmembrane transporter activity
	1287 bp			GO:0016020	C	membrane
4258	KWMTBOMO04258	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC105841516_[Bombyx_mori]			
	453 bp					
4259	KWMTBOMO04259	Bomo_Chr8	PREDICTED:_myosin-IA_[Papilio_xuthus]	GO:0003774	F	motor activity
	2724 bp			GO:0005524	F	ATP binding
				GO:0016459	C	myosin complex
				GO:0005515	F	protein binding
4260	KWMTBOMO04260	Bomo_Chr8	retroelement_polyprotein_[Glyptapanteles_flavicoxis]	GO:0003676	F	nucleic acid binding
	3930 bp			GO:0015074	P	DNA integration
4261	KWMTBOMO04261	Bomo_Chr8	PREDICTED:_forkhead_box_protein_J3-like_[Papilio_xuthus]	GO:0003700	F	transcription factor activity
	855 bp			GO:0006355	P	"regulation of transcription, DNA-dependent"
				GO:0043565	F	sequence-specific DNA binding
4262	KWMTBOMO04262	Bomo_Chr8	PREDICTED:_E3_ubiquitin-protein_ligase_UBR3_[Amyelois_transitella]			
	3744 bp					
4263	KWMTBOMO04263	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC101735738_isoform_X2_[Bombyx_mori]			
	618 bp					
4264	KWMTBOMO04264	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC101735738_isoform_X2_[Bombyx_mori]			
	1746 bp					
4265	KWMTBOMO04265	Bomo_Chr8	PREDICTED:_E3_ubiquitin-protein_ligase_UBR3-like_[Papilio_xuthus]	GO:0008270	F	zinc ion binding
	1764 bp					
4266	KWMTBOMO04266	Bomo_Chr8	PREDICTED:_ATP-dependent_RNA_helicase_DBP9_[Papilio_polytes]	GO:0003676	F	nucleic acid binding
	1692 bp			GO:0005524	F	ATP binding
4267	KWMTBOMO04267	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC101736090_[Bombyx_mori]			
	642 bp					
4268	KWMTBOMO04268	Bomo_Chr8	serotonin_transporter_[Bombyx_mori]	GO:0005328	F	neurotransmitter:sodium symporter activity
	1791 bp			GO:0006836	P	neurotransmitter transport
				GO:0016021	C	integral to membrane
4269	KWMTBOMO04269	Bomo_Chr8	PREDICTED:_multiple_inositol_polyphosphate_phosphatase_1-like_[Amyelois_transitella]	GO:0016791	F	phosphoric monoester hydrolase activity
	1365 bp			GO:0003993	F	acid phosphatase activity
4270	KWMTBOMO04270	Bomo_Chr8	transposase_[Bombyx_mori]			
	546 bp					
4271	KWMTBOMO04271	Bomo_Chr8	"PREDICTED:_myosin_heavy_chain,_muscle_isoform_X8_[Papilio_xuthus]"	GO:0005515	F	protein binding
	5904 bp			GO:0003774	F	motor activity
				GO:0005524	F	ATP binding
				GO:0016459	C	myosin complex
4272	KWMTBOMO04272	Bomo_Chr8	gag-like_protein_[Bombyx_mori]			
	1662 bp					
4273	KWMTBOMO04273	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	2700 bp					
4274	KWMTBOMO04274	Bomo_Chr8	yellow-f_[Bombyx_mori]			
	2103 bp					
4275	KWMTBOMO04275	Bomo_Chr8	gag-like_protein_[Bombyx_mori]			
	1629 bp					
4276	KWMTBOMO04276	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	2700 bp					
4277	KWMTBOMO04277	Bomo_Chr8	PREDICTED:_phosphatidylinositol-glycan_biosynthesis_class_X_protein_isoform_X1_[Bombyx_mori]	GO:0005789	C	endoplasmic reticulum membrane
	753 bp			GO:0006506	P	GPI anchor biosynthetic process
4278	KWMTBOMO04278	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC105841518_[Bombyx_mori]			
	3720 bp					
4279	KWMTBOMO04279	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	786 bp					
4280	KWMTBOMO04280	Bomo_Chr8	PREDICTED:_lipase_1-like_[Bombyx_mori]	GO:0016788	F	"hydrolase activity, acting on ester bonds"
	1173 bp					
4281	KWMTBOMO04281	Bomo_Chr8	PREDICTED:_lipase_3-like_[Bombyx_mori]			
	2586 bp					
4282	KWMTBOMO04282	Bomo_Chr8	Lipase_1_[Papilio_xuthus]			
	2247 bp					
4283	KWMTBOMO04283	Bomo_Chr8	"PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC105841899,_partial_[Bombyx_mori]"			
	6150 bp					
4284	KWMTBOMO04284	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC106139693_isoform_X1_[Amyelois_transitella]			
	1602 bp					
4285	KWMTBOMO04285	Bomo_Chr8	PREDICTED:_ankyrin_repeat_domain-containing_protein_13D-like_[Plutella_xylostella]			
	249 bp					
4286	KWMTBOMO04286	Bomo_Chr8	PREDICTED:_lipase_1-like_[Bombyx_mori]	GO:0016788	F	"hydrolase activity, acting on ester bonds"
	1176 bp					
4287	KWMTBOMO04287	Bomo_Chr8	Lipase_[Operophtera_brumata]	GO:0016788	F	"hydrolase activity, acting on ester bonds"
	1200 bp					
4288	KWMTBOMO04288	Bomo_Chr8	PREDICTED:_lipase_3-like_[Bombyx_mori]	GO:0016788	F	"hydrolase activity, acting on ester bonds"
	1290 bp					
4289	KWMTBOMO04289	Bomo_Chr8	PREDICTED:_lipase_1-like_[Bombyx_mori]	GO:0016788	F	"hydrolase activity, acting on ester bonds"
	1272 bp					
4290	KWMTBOMO04290	Bomo_Chr8	PREDICTED:_lipase_1-like_[Bombyx_mori]	GO:0016788	F	"hydrolase activity, acting on ester bonds"
	1305 bp					
4291	KWMTBOMO04291	Bomo_Chr8	PREDICTED:_ankyrin_repeat_domain-containing_protein_13D-like_[Bombyx_mori]			
	915 bp					
4292	KWMTBOMO04292	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC106708887_[Papilio_machaon]	GO:0003676	F	nucleic acid binding
	5424 bp			GO:0015074	P	DNA integration
				GO:0004190	F	aspartic-type endopeptidase activity
				GO:0006508	P	proteolysis
4293	KWMTBOMO04293	Bomo_Chr8	"PREDICTED:_ankyrin_repeat_domain-containing_protein_13B-like,_partial_[Bombyx_mori]"	GO:0005515	F	protein binding
	828 bp					
4294	KWMTBOMO04294	Bomo_Chr8	AF461149_1_transposase_[Bombyx_mori]			
	669 bp					
4295	KWMTBOMO04295	Bomo_Chr8	dnaJ_homolog_subfamily_C_member_28_[Bombyx_mori]			
	1107 bp					
4296	KWMTBOMO04296	Bomo_Chr8	PREDICTED:_trifunctional_purine_biosynthetic_protein_adenosine-3_isoform_X1_[Amyelois_transitella]	GO:0004641	F	phosphoribosylformylglycinamidine cyclo-ligase activity
	4095 bp			GO:0005737	C	cytoplasm
				GO:0006189	P	'de novo' IMP biosynthetic process
				GO:0004637	F	phosphoribosylamine-glycine ligase activity
				GO:0009113	P	purine base biosynthetic process
				GO:0005524	F	ATP binding
				GO:0046872	F	metal ion binding
				GO:0009058	P	biosynthetic process
				GO:0016742	F	"hydroxymethyl-, formyl- and related transferase activity"
				GO:0003824	F	catalytic activity
4297	KWMTBOMO04297	Bomo_Chr8	PREDICTED:_mRNA-decapping_enzyme_1A_[Papilio_polytes]	GO:0000290	P	deadenylation-dependent decapping
	1209 bp			GO:0008047	F	enzyme activator activity
				GO:0043085	P	positive regulation of enzyme activity
4298	KWMTBOMO04298	Bomo_Chr8	PREDICTED:_dullard-like_protein_isoform_X1_[Bombyx_mori]	GO:0016791	F	phosphoric monoester hydrolase activity
	849 bp					
4299	KWMTBOMO04299	Bomo_Chr8	beta-N-acetylglucosaminidase_2_precursor_[Bombyx_mori]	GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
	1491 bp			GO:0005975	P	carbohydrate metabolic process
				GO:0004563	F	beta-N-acetylhexosaminidase activity
4300	KWMTBOMO04300	Bomo_Chr8	beta-N-acetylglucosaminidase_3_precursor_[Bombyx_mori]	GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
	1512 bp			GO:0005975	P	carbohydrate metabolic process
				GO:0004563	F	beta-N-acetylhexosaminidase activity
4301	KWMTBOMO04301	Bomo_Chr8	PREDICTED:_AP-2_complex_subunit_mu_[Bombyx_mori]	GO:0006810	P	transport
	1323 bp			GO:0006886	P	intracellular protein transport
				GO:0016192	P	vesicle-mediated transport
				GO:0030131	C	clathrin adaptor complex
4302	KWMTBOMO04302	Bomo_Chr8	PREDICTED:_UDP-xylose_and_UDP-N-acetylglucosamine_transporter_[Papilio_machaon]			
	1008 bp					
4303	KWMTBOMO04303	Bomo_Chr8	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	900 bp					
4304	KWMTBOMO04304	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC101747137_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	4518 bp			GO:0015074	P	DNA integration
4305	KWMTBOMO04305	Bomo_Chr8	"PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC105841899,_partial_[Bombyx_mori]"			
	1101 bp					
4306	KWMTBOMO04306	Bomo_Chr8	PREDICTED:_calmodulin-binding_transcription_activator_2_[Bombyx_mori]	GO:0005515	F	protein binding
	3063 bp					
4307	KWMTBOMO04307	Bomo_Chr8	PREDICTED:_calmodulin-binding_transcription_activator_2_[Bombyx_mori]			
	237 bp					
4308	KWMTBOMO04308	Bomo_Chr8				
	345 bp					
4309	KWMTBOMO04309	Bomo_Chr8	PREDICTED:_RNA-directed_DNA_polymerase_from_mobile_element_jockey-like_[Plutella_xylostella]			
	1347 bp					
4310	KWMTBOMO04310	Bomo_Chr8	PREDICTED:_RING_finger_protein_nhl-1_isoform_X2_[Papilio_xuthus]	GO:0046872	F	metal ion binding
	3600 bp			GO:0005515	F	protein binding
				GO:0008270	F	zinc ion binding
				GO:0005622	C	intracellular
4311	KWMTBOMO04311	Bomo_Chr8	PREDICTED:_5-hydroxytryptamine_receptor_[Amyelois_transitella]	GO:0016021	C	integral to membrane
	1395 bp			GO:0004930	F	G-protein coupled receptor activity
				GO:0007186	P	G-protein coupled receptor protein signaling pathway
4312	KWMTBOMO04312	Bomo_Chr8	Calpain-7_[Papilio_xuthus]	GO:0004198	F	calcium-dependent cysteine-type endopeptidase activity
	2370 bp			GO:0005622	C	intracellular
				GO:0006508	P	proteolysis
4313	KWMTBOMO04313	Bomo_Chr8	peroxisomal_membrane_anchor_protein_[Bombyx_mori]			
	744 bp					
4314	KWMTBOMO04314	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC105389364_[Plutella_xylostella]			
	1638 bp					
4315	KWMTBOMO04315	Bomo_Chr8	PREDICTED:_glycoprotein-N-acetylgalactosamine_3-beta-galactosyltransferase_1_isoform_X2_[Papilio_polytes]	GO:0016020	C	membrane
	1023 bp			GO:0016757	F	"transferase activity, transferring glycosyl groups"
4316	KWMTBOMO04316	Bomo_Chr8	PREDICTED:_rac_GTPase-activating_protein_1-like_[Plutella_xylostella]	GO:0007165	P	signal transduction
	1821 bp					
4317	KWMTBOMO04317	Bomo_Chr8	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	2184 bp					
4318	KWMTBOMO04318	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	1128 bp					
4319	KWMTBOMO04319	Bomo_Chr8	AF461149_1_transposase_[Bombyx_mori]	GO:0003677	F	DNA binding
	555 bp					
4320	KWMTBOMO04320	Bomo_Chr8	hypothetical_protein_RR46_02347_[Papilio_xuthus]			
	294 bp					
4321	KWMTBOMO04321	Bomo_Chr8	conventional_protein_kinase_C_[Bombyx_mori]	GO:0004697	F	protein kinase C activity
	1839 bp			GO:0005524	F	ATP binding
				GO:0006468	P	protein amino acid phosphorylation
				GO:0008270	F	zinc ion binding
				GO:0004672	F	protein kinase activity
				GO:0005515	F	protein binding
				GO:0004674	F	protein serine/threonine kinase activity
4322	KWMTBOMO04322	Bomo_Chr8	PREDICTED:_tetratricopeptide_repeat_protein_36_[Amyelois_transitella]	GO:0005515	F	protein binding
	558 bp					
4323	KWMTBOMO04323	Bomo_Chr8	PREDICTED:_SUZ_domain-containing_protein_1_[Amyelois_transitella]			
	708 bp					
4324	KWMTBOMO04324	Bomo_Chr8	PREDICTED:_DNA-directed_RNA_polymerase_I_subunit_RPA1_[Papilio_machaon]	GO:0003677	F	DNA binding
	4983 bp			GO:0003899	F	DNA-directed RNA polymerase activity
				GO:0006351	P	"transcription, DNA-dependent"
4325	KWMTBOMO04325	Bomo_Chr8	inorganic_phosphate_co-transporter_[Bombyx_mori]	GO:0016021	C	integral to membrane
	1419 bp					
4326	KWMTBOMO04326	Bomo_Chr8	PREDICTED:_BUB3-interacting_and_GLEBS_motif-containing_protein_ZNF207_isoform_X2_[Papilio_xuthus]	GO:0046872	F	metal ion binding
	843 bp			GO:0003677	F	DNA binding
4327	KWMTBOMO04327	Bomo_Chr8	PREDICTED:_BUB3-interacting_and_GLEBS_motif-containing_protein_ZNF207_isoform_X3_[Amyelois_transitella]			
	261 bp					
4328	KWMTBOMO04328	Bomo_Chr8	PREDICTED:_WAS/WASL-interacting_protein_family_member_1_isoform_X1_[Bombyx_mori]	GO:0003779	F	actin binding
	1413 bp					
4329	KWMTBOMO04329	Bomo_Chr8	Uncharacterized_protein_OBRU01_07106_[Operophtera_brumata]			
	1791 bp					
4330	KWMTBOMO04330	Bomo_Chr8	PREDICTED:_26S_proteasome_non-ATPase_regulatory_subunit_11_[Amyelois_transitella]	GO:0005515	F	protein binding
	1266 bp					
4331	KWMTBOMO04331	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC106139004_[Amyelois_transitella]			
	1419 bp					
4332	KWMTBOMO04332	Bomo_Chr8	PREDICTED:_zinc_finger_protein_33A-like_[Amyelois_transitella]	GO:0046872	F	metal ion binding
	1650 bp			GO:0003676	F	nucleic acid binding
4333	KWMTBOMO04333	Bomo_Chr8	Protein_yippee-like_[Operophtera_brumata]			
	417 bp					
4334	KWMTBOMO04334	Bomo_Chr8	gag-like_protein_[Bombyx_mori]			
	1656 bp					
4335	KWMTBOMO04335	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	2700 bp					
4336	KWMTBOMO04336	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	1008 bp					
4337	KWMTBOMO04337	Bomo_Chr8	PREDICTED:_COP9_signalosome_complex_subunit_7b_[Papilio_machaon]	GO:0005515	F	protein binding
	822 bp					
4338	KWMTBOMO04338	Bomo_Chr8	PREDICTED:_zinc_finger_protein_432_isoform_X2_[Bombyx_mori]	GO:0046872	F	metal ion binding
	2409 bp			GO:0003676	F	nucleic acid binding
4339	KWMTBOMO04339	Bomo_Chr8	cytochrome_P450_CYP49A1_[Helicoverpa_armigera]	GO:0005506	F	iron ion binding
	1629 bp			GO:0016705	F	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
				GO:0020037	F	heme binding
4340	KWMTBOMO04340	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC106717302_[Papilio_machaon]			
	1401 bp					
4341	KWMTBOMO04341	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC105841337_[Bombyx_mori]			
	510 bp					
4342	KWMTBOMO04342	Bomo_Chr8	PREDICTED:_NFX1-type_zinc_finger-containing_protein_1-like_isoform_X1_[Amyelois_transitella]			
	3372 bp					
4343	KWMTBOMO04343	Bomo_Chr8	PREDICTED:_probable_serine_hydrolase_[Amyelois_transitella]			
	945 bp					
4344	KWMTBOMO04344	Bomo_Chr8	PREDICTED:_translocation_protein_SEC62_[Amyelois_transitella]	GO:0008565	F	protein transporter activity
	1119 bp			GO:0015031	P	protein transport
				GO:0016021	C	integral to membrane
4345	KWMTBOMO04345	Bomo_Chr8	PREDICTED:_4-hydroxyphenylpyruvate_dioxygenase-like_[Bombyx_mori]	GO:0003868	F	4-hydroxyphenylpyruvate dioxygenase activity
	1143 bp			GO:0009072	P	aromatic amino acid family metabolic process
				GO:0016701	F	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen"
4346	KWMTBOMO04346	Bomo_Chr8	PREDICTED:_4-hydroxyphenylpyruvate_dioxygenase-like_[Amyelois_transitella]			
	612 bp					
4347	KWMTBOMO04347	Bomo_Chr8	PREDICTED:_4-hydroxyphenylpyruvate_dioxygenase-like_[Amyelois_transitella]			
	324 bp					
4348	KWMTBOMO04348	Bomo_Chr8	PREDICTED:_BMP_and_activin_membrane-bound_inhibitor_homolog_[Amyelois_transitella]	GO:0030512	P	negative regulation of transforming growth factor beta receptor signaling pathway
	729 bp					
4349	KWMTBOMO04349	Bomo_Chr8	PREDICTED:_LOW_QUALITY_PROTEIN:_salivary_glue_protein_Sgs-3-like_[Bombyx_mori]			
	639 bp					
4350	KWMTBOMO04350	Bomo_Chr8	PREDICTED:_LOW_QUALITY_PROTEIN:_salivary_glue_protein_Sgs-3-like_[Bombyx_mori]			
	753 bp					
4351	KWMTBOMO04351	Bomo_Chr8	PREDICTED:_fibroblast_growth_factor_receptor_2-like_isoform_X1_[Amyelois_transitella]	GO:0004672	F	protein kinase activity
	1017 bp			GO:0006468	P	protein amino acid phosphorylation
				GO:0004714	F	transmembrane receptor protein tyrosine kinase activity
				GO:0007169	P	transmembrane receptor protein tyrosine kinase signaling pathway
				GO:0004713	F	protein-tyrosine kinase activity
				GO:0005524	F	ATP binding
4352	KWMTBOMO04352	Bomo_Chr8	AF461149_1_transposase_[Bombyx_mori]			
	336 bp					
4353	KWMTBOMO04353	Bomo_Chr8	gag-like_protein_[Bombyx_mori]			
	1623 bp					
4354	KWMTBOMO04354	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	1119 bp					
4355	KWMTBOMO04355	Bomo_Chr8	"PREDICTED:_fibroblast_growth_factor_receptor-like,_partial_[Bombyx_mori]"	GO:0005524	F	ATP binding
	321 bp					
4356	KWMTBOMO04356	Bomo_Chr8	_putative_cuticle_protein_[Bombyx_mori]			
	957 bp					
4357	KWMTBOMO04357	Bomo_Chr8	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	2961 bp					
4358	KWMTBOMO04358	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC101737432_isoform_X2_[Bombyx_mori]			
	672 bp					
4359	KWMTBOMO04359	Bomo_Chr8	PREDICTED:_protein_unc-13_homolog_C-like_[Amyelois_transitella]			
	759 bp					
4360	KWMTBOMO04360	Bomo_Chr8	PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC106708942_[Papilio_machaon]	GO:0003676	F	nucleic acid binding
	5538 bp			GO:0008270	F	zinc ion binding
4361	KWMTBOMO04361	Bomo_Chr8	PREDICTED:_uncharacterized_protein_LOC101737432_isoform_X2_[Bombyx_mori]			
	1437 bp					
4362	KWMTBOMO04362	Bomo_Chr8	reverse_transcriptase_[Bombyx_mori]			
	489 bp					
4363	KWMTBOMO04363	Bomo_Chr8	AF461149_1_transposase_[Bombyx_mori]			
	336 bp					
4364	KWMTBOMO04364	Bomo_Chr8	PREDICTED:_tyrosine-protein_phosphatase_non-receptor_type_4_[Bombyx_mori]	GO:0005856	C	cytoskeleton
	2640 bp			GO:0005515	F	protein binding
				GO:0004725	F	protein tyrosine phosphatase activity
				GO:0016311	P	dephosphorylation
				GO:0016791	F	phosphoric monoester hydrolase activity
				GO:0006470	P	protein amino acid dephosphorylation
4365	KWMTBOMO04365	Bomo_Chr8	"PREDICTED:_POU_domain,_class_6,_transcription_factor_2_isoform_X2_[Bombyx_mori]"	GO:0003677	F	DNA binding
	1755 bp			GO:0003700	F	transcription factor activity
				GO:0006355	P	"regulation of transcription, DNA-dependent"
4366	KWMTBOMO04366	Bomo_Chr8	PREDICTED:_mucin-2-like_[Amyelois_transitella]	GO:0003676	F	nucleic acid binding
	2532 bp			GO:0008270	F	zinc ion binding
				GO:0015074	P	DNA integration
4367	KWMTBOMO04367	Bomo_Chr8	"PREDICTED:_POU_domain,_class_6,_transcription_factor_1_isoform_X8_[Papilio_machaon]"			
	246 bp					
4368	KWMTBOMO04368	Bomo_Chr8	"reverse_ribonuclease_integrase,_partial_[Lasius_niger]"	GO:0004190	F	aspartic-type endopeptidase activity
	2829 bp			GO:0006508	P	proteolysis
4369	KWMTBOMO04369	Bomo_Chr8	PREDICTED:_centromere_protein_S-like_[Papilio_xuthus]	GO:0046982	F	protein heterodimerization activity
	447 bp					
4370	KWMTBOMO04370	Bomo_Chr8	PREDICTED:_GTP-binding_protein_128up_[Papilio_xuthus]	GO:0005525	F	GTP binding
	1104 bp					
4371	KWMTBOMO04371	Bomo_Chr8	hypothetical_protein_RR46_05489_[Papilio_xuthus]			
	273 bp					
4372	KWMTBOMO04372	Bomo_Chr8	AF461149_1_transposase_[Bombyx_mori]	GO:0003677	F	DNA binding
	864 bp					
